text,label
"Health experts are covering up a plan to cancel major public examinations, as reported by several unverified online sources. No scientific evidence has been provided to support the claim.",FAKE
"Environmental agencies are quietly implementing a system to monitor citizens through mobile devices, according to trending posts on social media. Fact-checkers warn that the information may be misleading.",FAKE
"Education authorities are secretly planning a decision to replace workers with AI within months, as claimed in a leaked but unconfirmed report. Fact-checkers warn that the information may be misleading.",FAKE
"Energy officials are testing an experiment controlling weather patterns, as reported by multiple unofficial blogs. The claim has spread rapidly online without confirmation.",FAKE
"Researchers have developed a plan to cancel major public examinations, according to anonymous insiders online. Experts have not verified the information.",FAKE
"Technology companies are secretly planning a technology that reads private conversations, as reported by multiple unofficial blogs. The information appears to originate from unverified sources.",FAKE
"Government are quietly implementing an experiment controlling weather patterns, as reported by several unverified online sources. No scientific evidence has been provided to support the claim.",FAKE
"Scientists are secretly planning a chemical program affecting public health, according to anonymous insiders online. No scientific evidence has been provided to support the claim.",FAKE
"Banks have hidden evidence about a method to track people through public cameras, according to viral social media posts. Authorities have not released any official statement.",FAKE
"Health experts have developed a chemical program affecting public health, according to messages circulating on messaging apps. Authorities have not released any official statement.",FAKE
"Education authorities are preparing to introduce a chemical program affecting public health, as reported by several unverified online sources. No scientific evidence has been provided to support the claim.",FAKE
"Scientists have confirmed privately a secret project affecting food safety, as reported by multiple unofficial blogs. Fact-checkers warn that the information may be misleading.",FAKE
"Technology companies have confirmed privately a technology that reads private conversations, as claimed in a widely shared online article. The information appears to originate from unverified sources.",FAKE
"Researchers are secretly planning a hidden increase in electricity prices, according to viral social media posts. Fact-checkers warn that the information may be misleading.",FAKE
"Researchers are covering up a plan to cancel major public examinations, as reported by multiple unofficial blogs. Officials have denied knowledge of such actions.",FAKE
"Environmental agencies are covering up a technology that reads private conversations, according to messages circulating on messaging apps. Experts have not verified the information.",FAKE
"Scientists are secretly planning a hidden increase in electricity prices, according to viral social media posts. Experts have not verified the information.",FAKE
"Researchers are preparing to introduce a method to track people through public cameras, according to messages circulating on messaging apps. Authorities have not released any official statement.",FAKE
"Banks have developed an experiment controlling weather patterns, as reported by multiple unofficial blogs. No scientific evidence has been provided to support the claim.",FAKE
"Education authorities are secretly planning a chemical program affecting public health, as claimed in a leaked but unconfirmed report. Officials have denied knowledge of such actions.",FAKE
"Security officials have developed a decision to replace workers with AI within months, as reported by multiple unofficial blogs. Authorities have not released any official statement.",FAKE
"Banks have hidden evidence about a plan to cancel major public examinations, according to trending posts on social media. Authorities have not released any official statement.",FAKE
"Health experts have confirmed privately a plan to cancel major public examinations, according to messages circulating on messaging apps. No scientific evidence has been provided to support the claim.",FAKE
"Environmental agencies are covering up a hidden increase in electricity prices, as claimed in a widely shared online article. Fact-checkers warn that the information may be misleading.",FAKE
"Health experts are quietly implementing a method to track people through public cameras, as reported by several unverified online sources. Authorities have not released any official statement.",FAKE
"Health experts are covering up a policy that will restrict bank withdrawals nationwide, as claimed in a leaked but unconfirmed report. Experts have not verified the information.",FAKE
"Health experts are secretly planning a plan to cancel major public examinations, according to trending posts on social media. Officials have denied knowledge of such actions.",FAKE
"Health experts are covering up a system to monitor citizens through mobile devices, as reported by several unverified online sources. Fact-checkers warn that the information may be misleading.",FAKE
"Health experts have confirmed privately a technology that reads private conversations, as reported by several unverified online sources. No scientific evidence has been provided to support the claim.",FAKE
"Security officials have developed a policy that will restrict bank withdrawals nationwide, as reported by several unverified online sources. No scientific evidence has been provided to support the claim.",FAKE
"Health experts are preparing to introduce an experiment controlling weather patterns, according to trending posts on social media. No scientific evidence has been provided to support the claim.",FAKE
